,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012
Northern America,205152000,219124000,231889631,244035000,256866000,268839000,285033597,302644200,318987193,334119135,348748924
Oceania,10742000,11799000,13177000,14192000,15178000,16263900,17495000,18517000,19651400,20827600,22728254
SEA,137463336,156046069,177283837,200582437,224870026,250241647,275502873,299010728,321591437,344208350,367262636
Africa,151723876,171919755,195035618,222840856,255954980,291845368,333171478,376958433,420918559,473336581,535528715
South America,115361101,131434952,148073350,165651559,184968514,204924286,223778111,242024544,259612882,275371433,289539197
Europe,432216163,451155292,464466396,476040504,486331520,495507825,505124397,509414672,511923732,519065386,524836167
Asia,1318869416,1477139125,1664940160,1835937299,2000289260,2182316226,2371127410,2545681176,2705234196,2845593357,2972170792
Middle East,112714419,129257313,149054321,173274432,203377531,238669695,274907969,314481252,352667707,395361388,442510452
